,Drug ID,PDB ID
603,DB00869,1AZM
604,DB00869,12CA
605,DB00869,1ZNC
606,DB00880,1AZM
607,DB00880,12CA
608,DB01031,1AZM
609,DB01031,12CA
610,DB01144,1AZM
611,DB01144,12CA
612,DB01144,1ZNC
613,DB01144,3MDZ
614,DB01325,1AZM
615,DB01325,12CA
617,DB00449,1HLL
618,DB00449,1GQ4
628,DB00968,1HLL
629,DB00968,3RBF
633,DB01577,1HLL
634,DB01577,1GOS
638,DB09242,1HLL
639,DB09242,3P0C
643,DB00279,1BSX
644,DB00279,1NAV
645,DB00451,1BSX
646,DB00451,1NAV
647,DB00451,1JV2
648,DB00509,1BSX
649,DB00509,1NAV
650,DB00273,2KBI
651,DB00273,12CA
652,DB00273,1T0J
653,DB00273,1ZNC
654,DB00273,2KAV
655,DB00273,2VAY
656,DB00273,1VYV
657,DB00273,3LV3
665,DB00563,1HVY
666,DB00563,1BOZ
667,DB00563,1P4R
668,DB00642,1HVY
669,DB00642,1BOZ
671,DB00642,1P4R
675,DB00631,2WGH
676,DB00631,1K0P
678,DB01073,2WGH
679,DB01073,1K0P
681,DB04652,1FM6
683,DB04652,1Y9R
684,DB00205,1BOZ
694,DB05265,1A5K
699,DB05667,3N9Y
701,DB00201,1RKP
702,DB00201,1E9K
703,DB00201,1SO2
705,DB08865,2KUP
706,DB08865,1FYR
708,DB08865,3ZBF
713,DB01173,2HQW
714,DB01173,3RZE
715,DB08838,2HQW
716,DB08838,2LCM
717,DB08838,3P0C
719,DB08875,1VR2
720,DB08875,1FYR
723,DB00140,1HZE
730,DB00805,4IB4
731,DB00805,1B41
738,DB00333,2HQW
739,DB00333,3NFL
740,DB00333,2MAW
741,DB00591,1M2Z
743,DB00591,1AII
756,DB00674,1B41
757,DB00674,2MAW
767,DB12218,1GZK
769,DB00270,1T0J
770,DB00270,2VAY
771,DB00270,3LV3
774,DB00393,1T0J
775,DB00393,2VAY
776,DB00393,1VYV
777,DB00393,3LV3
778,DB00401,1T0J
779,DB00401,2VAY
780,DB00401,3LV3
781,DB00568,1T0J
782,DB00568,3RZE
783,DB00568,2VAY
784,DB00568,3LV3
785,DB00622,1T0J
786,DB00622,3LV3
788,DB01023,1T0J
789,DB01023,2VAY
790,DB01023,3LV3
791,DB01054,1T0J
792,DB01054,2VAY
793,DB01054,3LV3
794,DB01115,1T0J
795,DB01115,3LV3
796,DB01388,1T0J
797,DB01388,2VAY
798,DB01388,1VYV
799,DB01388,3LV3
802,DB09229,1T0J
803,DB09229,2VAY
804,DB09229,3LV3
805,DB00228,3BXK
806,DB00228,1T0J
807,DB00228,1MOT
808,DB00228,2LCM
809,DB00228,4COF
810,DB00228,2VAY
811,DB00228,1VYV
812,DB00228,3LV3
813,DB00228,3BXL
814,DB00753,1MOT
815,DB00753,4COF
817,DB01028,1MOT
818,DB01028,4COF
819,DB01189,1MOT
820,DB01189,4COF
821,DB01189,6A69
822,DB01189,1CFF
823,DB01236,1MOT
824,DB01236,4COF
825,DB01236,6A69
826,DB01236,1CFF
827,DB01427,1F0J
828,DB01427,2QYK
829,DB01427,1E9K
830,DB00775,1DPK
831,DB00775,1JV2
881,DB09195,1HLL
882,DB09195,3RZE
889,DB00651,1F0J
890,DB00651,2QYK
891,DB00651,1E9K
892,DB00824,1F0J
893,DB00824,2QYK
895,DB05266,1F0J
896,DB05266,2QYK
897,DB00274,3FWL
898,DB00274,1HD8
899,DB00274,3IT9
900,DB00303,3FWL
901,DB00303,2EX2
902,DB00303,3IT9
903,DB00430,3FWL
904,DB00430,3IT9
905,DB00430,4OON
909,DB01328,3FWL
910,DB01328,2EX2
911,DB01329,3FWL
912,DB01329,2EX2
913,DB01329,1HD8
914,DB01329,3IT9
915,DB01329,4OON
916,DB01331,3FWL
917,DB01331,2EX2
918,DB01331,1HD8
919,DB01331,2WAD
920,DB01331,3IT9
921,DB01331,2C5W
922,DB01331,2UWX
924,DB01413,3FWL
925,DB01413,3OC2
929,DB06211,3FWL
930,DB06211,3OC2
932,DB00548,1D8Y
933,DB00548,3BUR
935,DB08916,1MFG
936,DB08916,2AHX
939,DB00627,2JBM
940,DB00627,2IIP
949,DB00396,1A28
950,DB00396,1Y9R
952,DB00834,1A28
953,DB00834,1M2Z
958,DB08867,1A28
959,DB08867,1M2Z
963,DB01034,1EBL
964,DB01034,1B3N
965,DB01034,1DD8
966,DB01034,1XKT
989,DB13025,1HLL
990,DB13025,4IB4
991,DB13025,3PBL
1008,DB00867,2LSQ
1009,DB00867,2K44
1010,DB00867,1GQ4
1011,DB00867,1JO6
1026,DB09273,1GQ4
1027,DB09273,1Z1L
1030,DB00688,1B3O
1031,DB00688,1JCN
1032,DB01024,1B3O
1033,DB01024,1JCN
1035,DB00997,1A31
1036,DB00997,3QX3
1037,DB04967,1A31
1040,DB14879,2EX2
1041,DB14879,4OON
1042,DB14879,3OC2
1046,DB11886,1DJS
1047,DB11886,1AGW
1048,DB11886,1RY7
1049,DB12147,1DJS
1050,DB12147,1AGW
1051,DB12147,1RY7
1052,DB15102,1DJS
1053,DB15102,1AGW
1054,DB15102,1RY7
1055,DB15149,1DJS
1056,DB15149,1AGW
1057,DB15149,1RY7
1058,DB00811,1JCN
1059,DB00811,1L9K
1063,DB00399,1YQ7
1064,DB00399,2Q80
1066,DB00710,1YQ7
1067,DB00710,2Q80
1069,DB06548,1YQ7
1070,DB06548,2Q80
1078,DB06637,1S1G
1079,DB06637,4BGC
1113,DB09091,1M2Z
1114,DB09091,3MAX
1115,DB09095,1M2Z
1116,DB09095,1AII
1123,DB00817,1ZVT
1124,DB00817,1AJ6
1125,DB11943,1ZVT
1126,DB11943,1AB4
1132,DB00634,1AJ0
1133,DB00634,2BMB
1141,DB00284,2QLY
1142,DB00284,3LPO
1143,DB00284,1B2Y
1155,DB00182,1HY9
1156,DB00182,1GOS
1158,DB08911,1S9J
1159,DB08911,1S9I
1160,DB11689,1S9J
1161,DB11689,1S9I
1162,DB11967,1S9J
1163,DB11967,1S9I
1175,DB01202,4V11
1176,DB01202,2LCM
1177,DB05541,2KBI
1178,DB05541,4V11
1179,DB05541,2KAV
1180,DB05541,4L1D
1181,DB05541,4MZ2
1182,DB05885,4V11
1183,DB05885,2LCM
1187,DB13931,1S1C
1188,DB13931,4L6Q
1189,DB16703,1S1C
1190,DB16703,4L6Q
1192,DB11986,1HE7
1193,DB11986,1WWC
1194,DB11986,3ZBF
1195,DB14723,1HE7
1196,DB14723,1HCF
1197,DB14723,1WWC
1198,DB16826,1HE7
1199,DB16826,1HCF
1200,DB16826,1WWC
1201,DB16826,3ZBF
1204,DB00825,3BXK
1205,DB00825,1T0J
1206,DB00825,3J9P
1207,DB00825,2VAY
1208,DB00825,1VYV
1209,DB00825,3LV3
1212,DB14050,3J9P
1213,DB14050,2F37
1220,DB02701,1ISF
1221,DB02701,1AER
1226,DB14924,1AWW
1227,DB14924,1SM2
1228,DB14924,1YVJ
1229,DB14924,2LUL
1230,DB14924,2DM0
1231,DB14924,2EKX
1238,DB00456,1CEF
1239,DB00456,1C3B
1240,DB00456,2WAD
1241,DB00456,2C5W
1242,DB00456,2UWX
1243,DB09060,1BLS
1244,DB09060,1YLW
1245,DB09060,1YLT
1246,DB09060,1YLP
1247,DB09060,1AXB
1248,DB09060,1ONG
1249,DB09060,1E25
1250,DB09060,2OV5
1251,DB09060,4HBT
1252,DB12377,1BLS
1253,DB12377,1YLW
1254,DB12377,1YLT
1255,DB12377,1YLP
1256,DB12377,1AXB
1260,DB09074,1UK0
1261,DB09074,3KCZ
1262,DB09074,2EOC
1263,DB11793,1UK0
1264,DB11793,3KCZ
1265,DB12332,1UK0
1266,DB12332,3KCZ
1267,DB12332,2EOC
1270,DB02703,1FNM
1271,DB01147,1PYY
1272,DB01147,1HD8
1273,DB01147,2C5W
1275,DB00193,1HLL
1276,DB00193,2HQW
1277,DB00193,3NFL
1278,DB00193,2KAV
1287,DB00191,1GOS
1288,DB00191,1QFA
1289,DB00752,1GOS
1290,DB00780,1GOS
1291,DB01037,1GOS
1305,DB09231,3BXK
1306,DB09231,1T0J
1307,DB09231,2LCM
1308,DB09231,2VAY
1309,DB09231,1VYV
1310,DB09231,3LV3
1311,DB09232,3BXK
1312,DB09232,1T0J
1313,DB09232,2LCM
1314,DB09232,2VAY
1315,DB09232,1VYV
1316,DB09232,3LV3
1324,DB02546,3MAX
1325,DB02546,4A69
1326,DB02546,3C5K
1332,DB11962,1AUE
1333,DB11962,3IHY
1336,DB01421,3BCH
1337,DB01421,1FJG
1338,DB08877,2B7A
1339,DB08877,1YVJ
1340,DB08877,3EYG
1341,DB08877,3LXN
1342,DB08895,2B7A
1343,DB08895,1YVJ
1344,DB08895,3EYG
1345,DB11763,2B7A
1346,DB11763,3EYG
1347,DB11817,2B7A
1348,DB11817,1YVJ
1349,DB11817,3EYG
1354,DB15493,4I5I
1355,DB15493,1J8F
1356,DB00507,1B0P
1366,DB00480,3URF
1367,DB00480,4M91
1372,DB01159,4COF
1373,DB01159,3P1N
1374,DB01159,6A69
1375,DB01159,1CFF
1379,DB00319,2WAD
1380,DB00319,2UWX
1381,DB00415,2WAD
1382,DB00415,2C5W
1383,DB00415,2UWX
1384,DB00485,2WAD
1385,DB00485,2C5W
1386,DB00485,2UWX
1387,DB00493,2WAD
1388,DB00493,2C5W
1389,DB00493,2UWX
1390,DB00567,2WAD
1391,DB00567,2C5W
1392,DB00567,2UWX
1393,DB00607,2WAD
1394,DB00607,2C5W
1395,DB00607,2UWX
1396,DB00713,2WAD
1397,DB00713,2C5W
1398,DB00713,2UWX
1399,DB00739,2WAD
1400,DB00739,2C5W
1401,DB00739,2UWX
1403,DB01140,2WAD
1404,DB01140,2C5W
1405,DB01140,2UWX
1406,DB01163,2WAD
1407,DB01163,2C5W
1408,DB01163,2UWX
1410,DB01603,2WAD
1411,DB01603,2C5W
1412,DB01603,2UWX
1413,DB03313,2WAD
1414,DB03313,2C5W
1415,DB03313,2UWX
1416,DB08795,2WAD
1417,DB08795,2C5W
1418,DB08795,2UWX
1419,DB01044,2NOV
1420,DB01044,3FOE
1446,DB01000,3FWL
1447,DB01000,2EX2
